Study_Hours,Sleep_Hours,Attendance,Assignment,Result
7,9,92,0,74.2
4,8,75,14,69.05
10,9,72,18,92.3
4,9,54,4,51.2
1,9,60,8,43.6
10,4,91,18,98.45
4,8,72,0,56.2
9,5,79,18,88.25
2,9,94,6,62.6
1,5,66,17,56.5
3,6,54,12,49.8
6,9,63,14,72.35
4,5,57,18,65.05
5,5,97,18,77.55
6,7,62,8,67.8
4,5,61,13,62.45
3,5,61,2,37.75
9,10,94,10,91.4
5,7,53,4,46.35
4,8,83,17,72.45
1,9,64,3,40
10,4,100,4,78.8
4,7,97,3,61.05
8,6,98,14,90.1
7,9,63,6,72.25
4,9,100,19,89.3
10,10,82,0,81.7
3,8,90,6,64.2
6,4,82,11,72.9
4,6,59,18,65.25
9,4,78,14,78.6
7,4,83,8,73.15
9,4,66,13,77.2
6,10,96,6,78.8
7,9,91,1,67.05
1,5,61,8,36.95
4,9,56,13,66.7
6,7,79,4,68.95
4,4,57,20,63.95
4,6,62,4,45.5
8,7,59,9,64.95
8,6,68,6,64
8,4,82,20,87.7
6,10,92,18,86.8
8,7,96,15,89.1
1,6,68,1,39.5
5,8,85,13,74.85
3,10,93,3,61.65
8,9,58,6,68
4,8,74,17,71.3
1,5,69,15,55.15
3,9,53,3,45.15
8,10,89,3,80.75
10,6,75,0,73.25
7,4,98,12,80.2
1,9,88,12,58.2
3,6,69,12,61.05
5,10,74,5,62.4
3,9,83,7,65.45
1,5,76,4,42.4
9,4,89,20,94.65
8,4,50,4,58.3
4,6,52,10,51.2
8,4,78,4,67.1
3,7,77,2,48.35
3,7,61,1,42.55
7,6,50,20,72
10,6,55,7,74.65
5,8,81,7,67.25
6,10,66,19,80.9
6,5,66,4,59.4
9,4,66,18,85.2
1,10,90,1,50.2
8,8,100,10,83
2,9,65,2,46.65
1,8,70,20,66
7,4,56,19,76.9
2,8,72,14,64
2,8,51,19,56.65
10,7,64,16,83.1
9,4,83,17,89.95
10,5,61,2,66.25
2,8,92,18,71.8
9,8,53,9,77.85
8,4,94,3,66.5
6,10,50,1,49.7
2,10,55,19,66.05
4,9,51,10,52.35
10,4,74,5,74.9
2,10,76,16,69.8
3,6,59,7,45.55
7,6,65,20,85.25
8,5,77,5,71.45
4,5,74,19,67.2
1,8,99,10,59.15
10,10,59,8,82.25
7,9,99,9,82.45
8,9,64,19,88.7
8,7,92,16,89.9
2,4,54,20,53.9
6,6,67,12,62.85
1,8,75,5,48.75
9,7,68,9,77.6
10,10,98,9,100
7,4,97,2,67.85
10,8,86,19,96.9
9,5,70,7,73.9
5,8,99,3,69.75
2,8,97,20,77.95
7,7,73,15,82.55
1,10,91,10,58.35
9,6,98,0,79.8
6,4,99,13,79.25
2,10,70,0,42.5
6,10,79,17,81.05
2,8,62,17,56.1
10,10,98,17,100
7,5,94,16,82.1
1,4,51,11,40.55
7,9,57,13,69.55
10,5,59,0,60.15
8,10,68,3,72.4
2,4,86,8,54.7
8,6,65,9,75.55
2,6,87,8,61.05
3,4,57,11,47.65
1,10,67,14,56.75
9,9,81,15,95.35
8,5,54,12,65.8
3,5,61,6,42.55
9,6,64,4,70.7
3,4,68,4,45.1
3,8,88,11,66.5
10,9,71,7,80.75
7,7,93,6,71.75
10,10,62,12,90.1
10,10,62,19,95.5
10,4,71,6,76.05
3,8,56,20,71.1
7,8,58,5,65.8
8,7,57,12,74.85
10,9,56,14,81.9
6,9,54,15,71.4
8,8,83,16,91.25
10,10,66,2,78.5
2,7,87,20,72.95
2,4,67,11,54.65
7,5,53,6,61.75
2,10,100,13,72.6
3,8,51,18,66.95
10,9,85,17,94.65
8,4,73,10,76.55
1,5,71,7,41.25
6,10,91,5,68.85
7,4,87,8,74.55
1,9,71,6,53.05
10,4,68,11,75
5,5,81,13,64.95
10,4,78,9,75.1
3,10,90,0,59
8,8,60,6,69.2
2,4,68,9,44.6
2,9,95,0,56.75
6,8,80,13,71.6
6,9,52,20,75.7
3,10,75,18,70.35
4,6,70,11,65.7
4,6,98,1,53.5
3,5,63,12,57.45
4,6,70,1,53.7
10,9,67,7,84.35
10,10,71,20,96.85
5,4,72,3,57.3
6,9,60,19,77.3
5,10,50,3,54.6
3,6,94,9,64.2
3,7,54,6,43.1
9,9,51,0,62.85
1,7,70,0,34.5
7,5,81,6,68.55
6,5,64,5,51.9
7,6,99,12,86.55
4,10,86,7,70.5
7,5,95,12,76.65
2,10,57,9,52.75
1,7,83,7,48.45
10,5,51,2,61.75
5,10,75,20,80.75
7,10,59,10,70.15
10,5,85,19,98.05
9,9,96,2,81
10,9,61,2,74.25
1,5,79,7,48.05
10,4,78,17,87.7
6,4,74,7,59.3
2,4,80,13,60.6
10,8,64,20,97.4
6,7,56,10,58.1
10,9,74,19,99.2
2,7,54,11,46.6
2,7,72,18,64.3
6,4,67,5,54.45
2,7,67,15,63.95
6,6,62,20,78.7
5,10,82,2,66.6
7,9,80,9,75.8
8,9,80,11,87.7
7,4,75,10,71.75
10,9,58,17,92.2
5,7,79,19,75.45
10,5,98,6,88
5,9,54,0,48.9
8,5,82,10,78.2
6,8,100,14,88.8
10,7,90,12,95.4
5,9,53,1,49.75
3,9,77,5,61.95
9,6,85,11,81.45
5,6,97,16,76.65
3,7,60,0,41
8,10,58,17,87.7
9,4,69,5,72.65
1,8,75,8,55.35
10,8,55,17,90.65
10,9,98,20,100
8,10,97,3,84.55
10,8,63,17,92.45
7,8,57,9,71.25
10,6,94,18,100
4,9,75,11,70.95
2,7,94,13,70
1,9,64,13,52
7,9,70,4,65.3
9,9,95,7,88.65
3,10,87,16,75.15
7,7,84,19,87.2
8,7,94,1,73.6
5,10,56,17,69.5
4,4,53,19,60.35
2,8,99,3,60.25
4,6,66,20,66.1
6,9,68,3,63.9
8,5,93,15,88.05
5,8,84,1,61.1
1,4,69,14,53.45
4,9,95,2,67.15
5,8,50,7,51.4
2,7,84,19,72.7
6,6,80,13,72.6
7,6,83,3,63.15
7,8,71,16,77.55
4,4,58,2,42.7
3,8,59,9,51.95
9,4,57,6,68.65
10,10,62,10,80.7
1,9,63,0,42.05
4,4,86,5,57.1
2,6,79,4,51.45
1,10,87,10,58.95
2,4,91,16,69.05
3,9,53,8,49.15
1,7,63,7,46.45
1,5,77,2,40.35
7,8,77,1,65.65
7,7,76,5,67.6
5,9,57,19,69.75
9,7,81,13,87.95
1,8,63,4,47.35
8,6,57,16,76.15
7,8,60,0,53.5
9,6,78,2,70.2
10,6,74,2,76.3
8,7,92,10,79.7
10,6,83,20,97.05
5,5,63,12,66.45
5,5,94,16,79.1
2,5,64,16,54.1
10,6,69,20,89.15
3,10,86,0,59.6
10,7,99,16,100
8,5,71,11,73.55
2,6,89,0,42.15
4,10,84,7,62.8
9,7,57,1,60.15
3,10,78,18,73.4
7,9,91,20,91.85
9,8,87,18,90.55
7,9,97,6,82.15
1,10,59,5,40.15
1,8,60,19,54.3
10,9,67,9,82.75
5,7,93,15,81.55
6,8,66,17,76.5
3,4,74,18,65
8,7,74,7,76.8
5,8,59,16,68.35
3,6,87,1,48.15
6,8,65,14,71.55
2,8,82,1,51.9
5,7,100,8,76.6
3,8,57,9,48.25
5,4,83,9,58.35
5,8,87,8,71.55
3,8,82,0,47.2
3,7,96,5,61.6
4,4,51,8,51.45
9,7,70,13,81.1
3,10,97,6,70.65
4,8,80,4,55.8
8,5,74,3,68
10,5,89,4,79.45
8,5,69,20,81.65
10,5,76,8,77.7
2,9,87,1,51.15
1,7,79,8,50.25
1,9,88,12,66.2
10,9,93,8,95.65
9,10,68,13,82.9
8,7,64,1,57.1
9,10,63,3,71.15
9,8,64,2,73.3
6,4,66,18,69.7
10,9,81,7,88.25
6,4,90,11,67.7
2,9,50,9,51.8
2,4,89,13,55.75
4,6,100,11,69.2
4,5,56,19,63.9
10,9,86,14,92.4
3,10,59,11,59.35
4,4,72,10,57.2
2,5,55,10,43.75
4,10,90,8,66.1
2,6,74,15,56.9
7,9,95,20,93.25
5,5,98,18,84.9
4,7,76,6,61.3
6,10,98,11,87.5
6,5,73,16,74.25
7,6,86,20,87.6
2,5,64,8,51.5
10,6,65,1,62.95
10,5,59,16,81.35
4,5,92,16,77.9
7,8,90,7,81.4
3,10,71,13,70.95
4,6,98,9,65.1
2,7,100,19,73.3
6,6,98,0,64.3
7,4,63,5,56.55
1,6,58,0,34.8
5,9,74,12,71.3
1,8,77,15,58.45
4,9,51,5,55.35
9,8,51,18,85.95
3,9,82,5,63.7
10,7,63,12,76.95
4,10,54,13,59.5
8,8,87,19,97.25
7,4,81,8,73.45
3,7,72,4,53
2,6,91,16,63.05
10,7,85,0,74.25
9,10,95,9,95.55
6,7,90,2,61.4
4,10,69,1,54.35
9,10,68,9,78.1
4,10,79,16,70.85
4,8,51,7,51.25
6,9,88,12,79.7
9,9,98,10,94.3
6,5,52,11,63.9
6,10,89,19,92.95
7,8,69,19,84.45
6,9,75,11,75.95
4,10,87,20,87.45
9,8,100,13,95.1
4,6,90,0,54.5
6,5,75,12,65.15
8,8,84,19,92.2
8,8,58,14,81.1
6,7,70,19,73.8
9,5,100,10,90
9,4,74,16,86.6
1,7,61,1,33.55
4,7,75,15,67.75
9,10,98,8,92.4
4,9,87,19,79.75
8,6,82,2,70.1
6,6,62,7,56.1
7,9,91,4,74.65
9,7,98,0,81.3
7,7,68,7,65.2
10,8,84,13,90
9,5,85,1,64.95
8,8,55,17,78.65
4,5,92,10,69.7
9,10,92,10,87.7
9,10,64,18,91.5
6,10,69,5,61.15
8,7,100,9,86.3
1,10,50,11,54.2
10,7,80,6,83.7
8,9,57,11,70.65
9,8,88,12,85.7
1,6,100,14,69.3
10,4,59,10,69.65
2,7,91,7,54.75
1,4,71,4,37.15
3,7,83,19,73.85
8,8,57,13,73.55
9,8,64,3,72.5
10,9,77,15,93.45
8,7,73,15,86.05
10,9,58,19,87.6
2,9,79,10,62.15
8,10,72,9,81
8,5,86,13,80.2
6,10,68,18,83.4
8,5,70,7,63.4
6,8,94,1,66.1
1,5,65,3,32.35
9,8,65,1,64.45
9,5,56,11,72.8
10,5,76,8,82.7
9,7,74,6,78.1
4,6,96,12,70
9,6,88,8,78.9
3,8,100,3,65.1
4,7,97,3,58.05
9,8,60,2,64.9
5,8,72,20,76.7
9,7,74,15,80.9
10,9,56,19,90.9
3,5,60,11,54.2
2,5,80,12,53.9
1,5,54,16,50.1
8,7,77,18,88.05
3,4,91,2,54.75
8,8,80,6,76.2
5,8,60,4,58.3
1,8,51,18,58.95
6,8,51,6,59.05
4,9,83,1,52.75
5,10,81,8,66.45
4,9,56,10,58.1
4,9,86,8,63.2
10,5,58,11,79
3,9,90,3,56.1
8,7,79,11,74.35
4,8,50,6,45.7
8,5,69,2,57.05
7,9,60,3,59.6
7,8,80,5,74.5
4,10,58,16,69.5
7,8,58,16,80
5,5,80,3,59.6
7,6,66,13,75.2
9,5,90,0,75.5
4,6,61,19,67.15
10,5,93,8,89.65
8,10,52,4,67
4,7,64,17,66.3
4,6,88,6,64
4,6,55,14,58.05
10,6,74,19,92.7
1,4,68,13,52.9
4,10,78,20,78.3
9,4,100,18,97.1
6,9,58,16,71
7,6,88,1,60.5
6,8,85,20,86.75
10,9,94,18,100
4,7,59,0,43.15
7,5,80,5,66
10,4,53,14,75.35
6,7,50,18,75.6
5,4,72,8,58.3
2,4,70,18,63.1
8,8,76,1,66.8
8,4,62,11,69.9
2,8,82,17,65.1
4,5,75,18,66.35
6,10,93,8,78.15
2,9,78,13,67.4
10,5,93,11,89.25
4,7,84,6,61.1
3,5,76,11,54.8
2,7,82,17,66.6
1,4,53,19,50.85
5,10,55,20,75.75
8,4,64,16,80.6
5,5,67,3,50.05
5,6,56,4,53.9
6,8,54,15,67.9
5,4,92,6,65.9
6,7,67,15,72.95
2,10,51,10,53.85
7,5,55,16,73.45
3,10,57,11,63.65
8,7,85,10,77.25
8,6,74,9,74.7
7,9,99,0,76.65
4,6,72,15,65.2
2,9,87,14,72.75
6,6,58,6,61.5
9,4,80,1,67.7
7,9,78,8,71.9
10,6,88,3,76.4
9,10,87,20,100
8,4,66,1,62.3
8,4,78,0,66.3
2,10,98,8,67.9
3,9,87,13,74.05
1,4,90,17,64.4
6,7,67,11,65.15
10,8,52,8,79.8
1,5,69,19,61.95
3,8,50,3,40.6
7,4,89,20,81.65
6,7,100,3,75.1
1,6,98,18,70.4
9,4,92,5,70.7
1,5,57,0,35.95
4,7,72,9,64.5
4,8,50,1,46.7
8,4,92,1,65.4
7,8,72,19,81.5
9,7,72,19,88
9,5,64,6,67.6
10,5,61,16,85.05
7,5,58,0,53.3
2,5,80,11,58.7
6,9,97,0,66.45
6,9,61,17,78.25
8,7,79,9,75.95
6,9,67,12,68.35
4,9,70,7,57.4
2,4,94,17,68.3
8,4,67,5,62.45
5,5,81,3,60.95
7,5,83,20,81.05
4,4,52,1,42.4
1,10,53,19,54.85
7,10,60,18,79.1
5,5,80,19,80.8
7,8,73,7,65.45
6,9,66,13,76.2
3,9,75,8,60.85
9,6,63,5,63.55
3,5,97,0,46.95
6,6,88,19,80.6
9,7,58,13,79.9
7,4,60,14,64.3
9,5,88,15,87.8
1,9,73,12,54.95
8,10,77,17,91.35
6,7,100,7,72.9
7,5,66,3,61.7
2,8,84,5,57.4
4,9,71,9,63.15
1,10,88,19,75.1
10,8,91,2,77.25
1,7,94,10,63.9
6,10,80,17,81.4
5,5,88,14,67.6
10,9,75,12,91.15
1,8,98,6,59
6,8,76,14,72.4
10,8,50,17,87.9
8,9,87,17,96.35
7,9,65,15,82.75
7,6,77,15,82.45
7,5,100,0,70
1,5,61,3,38.95
6,7,90,15,86
9,8,62,6,77.4
1,7,75,18,63.85
8,5,91,20,91.35
5,10,53,5,58.05
4,7,73,19,71.85
2,10,74,6,52.1
7,9,80,6,74.2
8,4,97,16,89.15
2,5,93,6,57.25
1,6,64,9,44.7
7,5,91,20,88.85
6,4,50,19,63.3
6,9,87,7,68.35
3,8,85,8,65.85
4,5,68,2,47.7
2,10,64,13,58
2,10,100,2,54.4
5,5,50,13,62.1
1,7,95,14,62.05
4,5,69,20,73.65
6,5,54,16,71.6
2,7,78,17,61.2
2,9,94,19,80.2
1,6,85,13,54.85
3,6,88,0,53.3
5,6,87,16,77.15
8,6,61,15,77.35
3,10,58,0,47.8
6,6,56,3,55.2
8,9,53,11,71.25
4,9,83,15,77.55
2,7,87,10,60.95
4,8,54,8,52.5
7,7,88,0,62.8
3,4,82,3,47.8
8,10,92,3,80.8
7,4,67,12,72.35
1,6,99,5,56.15
5,9,94,7,72.3
9,9,100,13,98.6
10,5,66,5,73.6
1,7,71,12,48.25
4,4,78,3,53.9
4,7,74,9,56.2
6,5,70,1,51.2
7,4,58,8,63.4
1,6,61,9,44.65
5,10,79,4,60.95
3,5,86,16,72.3
8,6,93,9,77.35
3,4,92,3,57.3
7,6,92,0,67.7
7,5,61,20,82.35
3,8,99,11,68.35
3,6,82,12,67.6
4,5,56,2,48.5
7,5,87,13,80.05
10,5,62,5,72.2
5,7,50,13,64.1
1,6,98,11,59
5,9,69,18,77.75
2,7,54,5,40.4
4,9,93,3,66.65
3,5,57,8,48.55
1,9,51,17,59.25
5,10,98,19,92.6
6,10,60,7,68.4
10,8,61,13,83.95
5,6,93,8,73.65
6,8,50,13,70.1
6,4,68,9,64.6
3,10,99,17,79.55
1,10,50,12,48.4
5,7,96,12,73
8,8,59,13,81.25
5,9,81,9,72.15
1,6,96,10,59.1
3,10,98,9,72.6
2,9,94,14,72.2
6,7,55,13,71.35
8,8,65,6,66.95
5,9,71,6,63.05
2,10,89,5,60.15
6,4,86,5,63.1
10,4,60,2,63.4
4,9,85,12,74.65
4,5,95,1,56.95
8,4,61,17,73.75
10,8,78,17,92.7
5,4,80,8,58.1
3,5,98,19,70.1
7,8,71,2,63.75
3,6,68,0,45.3
4,10,82,4,60.5
10,10,60,7,84.4
7,8,93,13,80.65
8,4,72,14,78
6,7,54,1,52.6
9,6,64,16,80.1
5,4,98,14,73.6
3,10,84,17,75.3
10,10,86,4,87.9
2,7,61,14,50.65
7,4,65,15,75.25
9,8,92,4,82.5
4,6,64,20,67.4
7,9,91,9,80.65
4,10,50,11,57.7
9,4,77,12,77.85
7,8,92,9,74.5
3,8,79,13,66.75
2,9,66,17,66
4,5,63,18,69.15
2,5,85,13,57.85
10,10,83,4,87.85
2,4,54,2,34.3
7,9,73,18,81.15
5,10,72,11,69.9
10,4,74,20,85.9
4,10,63,14,70.85
4,4,58,2,47.7
10,6,52,19,81
7,6,85,7,67.65
2,7,72,5,46.7
8,5,55,8,69.35
1,9,97,9,56.75
5,9,71,20,83.85
7,10,65,10,72.25
7,5,68,17,72.2
9,7,63,10,79.05
9,10,56,9,76.9
9,10,59,4,75.95
10,7,82,20,99.2
3,10,70,9,65.8
5,6,99,12,72.55
8,7,98,5,73.8
7,9,59,5,67.65
2,7,70,12,59.4
3,5,99,2,58.05
7,9,81,16,82.55
4,7,75,4,57.55
2,9,74,7,57.8
5,8,80,16,71.7
2,4,61,1,35.55
4,10,72,16,70.4
4,10,68,14,66.6
1,5,67,10,50.45
5,6,71,16,74.55
9,4,91,11,78.55
10,6,82,14,84.5
2,5,98,17,65.2
5,9,73,13,72.15
10,4,72,9,81
9,4,86,12,81
10,5,62,12,81.6
8,9,77,9,83.25
2,5,69,3,39.25
9,4,74,11,73.6
2,5,82,2,44.6
8,7,79,15,88.15
1,4,70,20,53
4,9,93,16,75.25
1,5,67,20,54.45
7,4,61,8,65.45
7,8,100,20,91.5
10,8,63,4,74.85
10,5,53,14,73.85
10,10,83,12,97.45
10,8,61,15,86.35
1,7,98,20,75.3
2,6,90,6,58.7
1,9,59,14,52.45
7,7,81,15,76.35
5,9,99,3,74.25
1,9,73,17,63.95
7,10,68,11,72.5
1,9,100,6,54.2
2,6,88,15,65.8
10,10,70,19,99.3
9,10,72,4,81.5
10,7,99,17,98.55
7,5,87,7,71.85
1,4,93,6,47.25
1,4,82,4,40
8,8,60,0,61
3,10,88,8,66.9
4,8,67,18,75.05
6,4,84,13,77
4,10,58,4,50.1
2,7,67,17,59.35
5,8,51,6,55.55
6,7,64,9,62.7
3,9,50,8,50.1
8,9,98,3,75.4
4,6,58,0,42.3
10,7,55,6,72.95
7,7,62,3,55.3
5,8,70,8,64.6
9,4,59,5,59.15
6,7,56,15,69.1
8,7,50,14,74.8
4,6,85,17,73.15
6,9,51,16,74.55
4,10,55,13,59.85
5,9,87,2,62.85
6,8,88,18,89.4
4,10,97,19,80.75
2,6,70,9,50.3
9,4,74,10,80.4
3,7,96,10,61.6
6,7,54,9,58.2
4,7,63,19,73.35
9,8,82,6,82.4
5,10,95,6,74.95
1,6,78,7,44.2
5,9,87,18,79.05
2,9,69,7,50.05
4,10,66,12,68.5
3,10,63,13,60.15
10,10,64,16,94.6
4,4,66,3,42.7
4,6,86,16,72.3
9,4,98,1,76
6,4,55,9,59.05
4,5,85,12,66.65
5,7,57,17,70.35
8,4,96,8,82.2
10,6,63,18,91.65
9,4,66,14,81.4
4,8,84,9,66.2
2,4,80,1,40.2
8,4,68,6,68
3,10,81,9,69.65
1,4,94,18,66
4,8,77,12,64.35
6,10,66,12,70.5
9,9,100,18,100
7,9,65,7,70.15
10,5,61,4,63.65
3,5,55,20,63.25
9,5,68,14,84.6
2,9,95,18,80.35
6,6,65,4,53.55
9,8,93,4,77.85
1,8,99,5,59.15
2,4,97,13,66.55
8,4,84,19,88.2
10,9,58,14,88.6
8,4,72,0,60.2
3,9,54,20,61.9
5,6,86,9,67.4
5,4,94,17,77.8
1,6,55,7,40.15
5,4,57,20,67.45
6,10,81,12,74.75
6,8,81,10,78.35
1,10,75,10,61.75
3,8,71,11,61.55
3,9,99,20,85.65
6,10,95,12,87.65
3,5,76,10,58.6
10,7,58,9,73.6
9,8,64,7,72.3
1,9,50,0,37.5
10,4,69,8,78.75
1,8,69,5,42.65
10,5,51,6,68.55
7,8,100,3,71.1
1,7,67,12,47.85
4,5,66,3,44.2
5,9,60,8,61.6
9,4,82,0,69.2
9,7,90,1,79.7
9,10,71,19,95.15
9,8,58,9,75.6
8,4,52,17,68.6
4,10,89,6,72.35
5,8,54,20,74.4
2,7,52,15,53.7
5,6,94,6,71.6
5,10,60,5,62.5
9,10,63,4,77.35
4,8,64,20,73.4
8,9,51,0,55.35
3,4,95,17,75.15
3,6,92,5,54.7
6,9,96,18,92.7
4,9,84,14,77.7
4,8,55,9,61.05
3,10,94,18,82
8,9,71,10,76.35
10,9,58,0,64.8
4,8,64,5,49.4
7,5,72,10,65.2
2,5,88,2,47.7
6,10,62,1,56.9
9,4,86,8,78.2
1,7,86,15,60.1
1,8,78,7,46.2
1,8,53,7,46.45
10,7,87,0,80.95
8,4,55,4,54.05
10,4,51,11,72.05
10,4,97,14,88.75
2,4,62,5,41.7
3,8,63,2,42.95
6,4,97,0,58.95
9,5,83,6,77.25
2,9,63,20,61.55
1,4,65,10,42.25
3,4,52,5,39.7
5,7,97,6,67.15
6,8,56,20,75.6
6,8,51,9,62.65
7,10,81,19,87.65
8,6,61,10,67.35
6,8,83,13,75.65
3,4,76,10,59.1
2,7,95,19,68.55
3,5,74,4,52.7
9,10,97,15,97.45
6,8,84,9,75.2
3,10,77,19,70.25
8,6,67,1,62.65
2,8,68,17,64.2
